pubkey,nchannels,capacity,base,rate,alias
020a59b83f13698e950d5c203bd59a1d3aa53cbf0d6c9f30f92bd590a91850bd35,8,1570275,1,0.01,Feedback
020a8396e245e20dfba19c9c1ab8d13a19b9d80eb5b96fe253fbaee8b8c836c4c9,1,200000,1,0.1,
020a9442b1daee87f771203cf78e1d6c1468f525ecc1a8fde027bd20582b8f6962,12,25238849,1,0.05890705713243896,Pluke
020a95f21bd8841a4db4c1f56773503261e3735e977eaf74a88dfac5020563f526,4,800000,0.65875,0.01,StarBugs
020aa1b4448974defb5a2b4058700ffd53a9ab8c2fa3bea0e1cbdd71f2e452b81c,2,400000,1,0.01,
020aaa5790fd3aea7d00ca3fff13da2d7b69cbfb2ba0aed904b761e23b0b15a0d7,6,2000000,1,0.01,Foglesq
020aec1f7cbcfaa55f4f1ed70e87645009c86d28661c7a6645408144689dd6d65a,1,2000000,1,0.01,
020afcadf33ef613e47a6b94d461e50db1740a6dff9ff5d38617210d523c545dbd,3,609307,1,0.01,RaspiBlitzHohenlohe
020b89502397dede9af0a453e438f611209a91db26d7b5f6de26a43de5ffe6af20,5,3448159,1,0.01,Domitai Bitcoin
020b9040c4650daeef20c5479513c6541f4892d62dbffc94b76ac417052060c516,26,41927899,0.03901571600332275,0.0003901571600332275,Ukkonen
020b95133888176c1def9d03b5426aa13d6c5c7f3406c946441ce2eaab23c40834,5,7800001,1,0.01,tresenza-lnd
020bae58f77e89686f48247a22e351eb4538be46d71e14d7dcf1faddfd949adebd,1,100000,1,0.01,99CentStore
020bbb584a5008a9d1dfcf9aca44b254919d9f33e37e8dbdba9e0dab3cbfc628dc,3,214869,1,0.01,ribeye👁〰️👁
020bf0c421ce915ceb0c1702e136ac3be920c7f6afe3ed75f722babbcb726abd6b,9,906771,1,0.01,Not-A-Diamond-Emoji
020c0e518e9d27eb3024d465b5ab765da605f8bc488822c401bbd182e379c6c4fe,2,153600,1,0.01,SkyBitBolt
020c27b1e99dce7b952757be0b0d7c42ab825270c4f8f7571a349624da408b2dc8,14,27037701,0.48225301037983964,0.01,burger
020c7f6d847bf0fc99418351a5c02b0d36babf833f0613216dff3e808ebedea656,22,3965759,1,0.01,Kidlat212
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,271,159284918,1,0.01,LN-Fukaya Japan 020c92d71dfe47d4
020c9badbd185699271c1acc5bf0af1dcab42c1dbafc011a0a305c75e3836c64a6,5,960923,1,0.01,dm-ltng
020ca546d600037181b7cbcd094818100d780d32fd9f210e14390e0d10b7ec71fb,7,23759502,1,0.1,ELYRIA
020ca944a08a537a99d4eb567ae01f83f28074b347fe100eddd0fb659d6c052dae,3,855542,1,0.01,BitcoinCatJump
020cbf9eb430b9657ea67e77ec20a06d0c278e7e0d34f1b28feb3f67fedc7a2549,2,2367974,1,1,PayByte.IO
020cca750b6ce88b1e3b8cb6921782cdbfce972193ffaca7901f0fc4643080e457,2,9040000,1,0.01,Tevo3D
020cf40953ed039151cddb747d22f2868a221cf75995053c22576f079ec8d2e1e6,56,31108246,0.2682318639887315,0.7351756302814373,Rapide-Comme-L-Eclair-2
020cf679b34b5819dfbaf68663bdd636c92117b6c04981940e878818b736c0cdb7,1,800000,1,0.01,The_Leavings
020cfe991127e010836cf16429af817a6af3d1441c30726293a77adcbcd2081148,4,2087023,1,0.01,YellowSubmarine
020d0801b445d07d8981546010519e640403d406fac5636e23427a45240318aaf1,5,9370996,1,0.01,ListedReserve
020d1c4a7bb8dba65e7214f805f73a719585ab32b7925b51ce0ab5cfeeadd6a673,9,15600000,1,0.01,alkima
020d1cbb82676af152d87d5c2865f113936624c249bf9dcd54d4aeae52ffc8c5e1,6,16154272,0.006190313002034385,0.00006190313002034384,Changenow.io
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,7,27561068,1,0.01,Covfefe
020d458176a44e5438339eabfed6c4b438e114adac4a3c34a3ea41b496b0e4dc32,2,1500000,1,0.01,end_the_fed
020d649453ad3b9934078a574c40e6f4cba0234e7c0f92cd35d22f57a19f9754d9,1,900000,1,0.01,020d649453ad3b993407
